,#,Company,Symbol,Weight,Price,Chg,% Chg
97,98,ServiceNow Inc.,NOW,0.238996,381.7,-0.16,(-0.04%)
98,99,Vertex Pharmaceuticals Incorporated,VRTX,0.235737,289.5,-0.19,(-0.07%)
99,100,Progressive Corporation,PGR,0.235089,129.44,0.0,(0.00%)
100,101,Booking Holdings Inc.,BKNG,0.234265,1970.01,-1.51,(-0.08%)
101,102,EOG Resources Inc.,EOG,0.2318,130.63,0.02,(0.02%)
102,103,Schlumberger NV,SLB,0.227686,52.99,0.0,(0.00%)
103,104,Becton Dickinson and Company,BDX,0.225193,254.47,0.0,(0.00%)
104,105,Air Products and Chemicals Inc.,APD,0.216635,312.04,0.0,(0.00%)
105,106,Moderna Inc.,MRNA,0.215075,198.8,-0.28,(-0.14%)
106,107,Zoetis Inc. Class A,ZTS,0.211176,145.76,0.0,(0.00%)
107,108,3M Company,MMM,0.209992,120.14,0.0,(0.00%)
108,109,Boston Scientific Corporation,BSX,0.206534,46.06,0.0,(0.00%)
109,110,Colgate-Palmolive Company,CL,0.206249,79.45,0.0,(0.00%)
110,111,Target Corporation,TGT,0.204089,143.15,0.0,(0.00%)
111,112,CSX Corporation,CSX,0.203442,31.25,0.0,(0.00%)
112,113,Humana Inc.,HUM,0.2027,513.96,0.0,(0.00%)
113,114,Fiserv Inc.,FISV,0.198232,105.54,5.08,(5.06%)
114,115,CME Group Inc. Class A,CME,0.194636,173.9,0.57,(0.33%)
115,116,PNC Financial Services Group Inc.,PNC,0.194432,155.02,0.0,(0.00%)
116,117,Aon Plc Class A,AON,0.193992,300.59,0.0,(0.00%)
117,118,Eaton Corp. Plc,ETN,0.193605,156.8,0.0,(0.00%)
118,119,Illinois Tool Works Inc.,ITW,0.193133,221.97,0.0,(0.00%)
119,120,Equinix Inc.,EQIX,0.189398,657.68,0.0,(0.00%)
120,121,Waste Management Inc.,WM,0.184733,159.21,0.0,(0.00%)
121,122,Crown Castle Inc.,CCI,0.183474,136.98,0.0,(0.00%)
122,123,U.S. Bancorp,USB,0.1804,43.2,0.0,(0.00%)
123,124,Intercontinental Exchange Inc.,ICE,0.177981,102.81,0.0,(0.00%)
124,125,Norfolk Southern Corporation,NSC,0.177548,247.5,0.0,(0.00%)
